observation_date,OECDULQELP01GYSAQ
1996-01-01,1.94152211298614996
1996-04-01,2.14541497065957998
1996-07-01,1.81820564767219994
1996-10-01,2.00018381250397992
1997-01-01,1.69347880827479003
1997-04-01,1.73693733923790994
1997-07-01,2.08638909482883017
1997-10-01,2.11738233390193997
1998-01-01,2.06336726532315984
1998-04-01,1.52936588145136998
1998-07-01,1.50092714363508994
1998-10-01,1.53395784648859990
1999-01-01,1.79530257133016002
1999-04-01,1.99714613608531000
1999-07-01,2.24825938046963980
1999-10-01,2.60609781595085011
2000-01-01,2.34148678276737998
2000-04-01,2.70048977859278017
2000-07-01,2.12817263652822986
2000-10-01,1.39654515503953003
2001-01-01,1.50518110588291010
2001-04-01,1.07766468720628006
2001-07-01,0.77987561454997500
2001-10-01,0.80615260674853795
2002-01-01,1.06462897732327999
2002-04-01,1.27125428468537005
2002-07-01,1.60181158801789003
2002-10-01,1.59882447533069993
2003-01-01,1.07085290666207000
2003-04-01,0.85778575147863900
2003-07-01,1.64682889917513009
2003-10-01,2.07455543879204996
2004-01-01,2.58259831595947009
2004-04-01,2.61643679585097999
2004-07-01,1.87324951204728007
2004-10-01,1.49702259384770997
2005-01-01,1.47670005133981008
2005-04-01,1.29642741873149991
2005-07-01,1.45669509159570998
2005-10-01,1.55541253450862005
2006-01-01,1.59295527826848993
2006-04-01,1.53727771397268009
2006-07-01,1.00178141498689999
2006-10-01,1.01498643402980004
2007-01-01,0.82750085070292201
2007-04-01,1.06197857380799010
2007-07-01,1.40685782180859009
2007-10-01,1.39661570808925006
2008-01-01,1.05547572980831994
2008-04-01,0.59661842891652095
2008-07-01,0.00560673222131360
2008-10-01,-2.01345199655253015
2009-01-01,-3.08775179758618012
2009-04-01,-2.11465016812427997
2009-07-01,-1.05250188945646994
2009-10-01,1.71179020104922008
2010-01-01,3.42654245523889012
2010-04-01,3.24422257266899017
2010-07-01,3.08214872975658993
2010-10-01,2.39311311011026007
2011-01-01,1.79541846855625997
2011-04-01,1.22605504363248996
2011-07-01,1.00236646711463995
2011-10-01,0.68388255110327700
2012-01-01,0.91036197823848597
2012-04-01,0.51591652026978396
2012-07-01,0.14901713408225700
2012-10-01,-0.25578735599451302
2013-01-01,0.16097684662777001
2013-04-01,0.63616602115671494
2013-07-01,1.07562695124859009
2013-10-01,1.66584154519940997
2014-01-01,0.95179572204386997
2014-04-01,0.74643741082674897
2014-07-01,0.77354223222897600
2014-10-01,0.59262804129458801
2015-01-01,1.19239620203195007
2015-04-01,1.32964210421602003
2015-07-01,0.99090088400362797
2015-10-01,0.80235864525468803
2016-01-01,0.35862678683775001
2016-04-01,0.19878465594444700
2016-07-01,0.10525695786481901
2016-10-01,0.68195172634844103
2017-01-01,0.89064739993408404
2017-04-01,1.07412633442153993
2017-07-01,1.42310993915652007
2017-10-01,1.49135867175979997
2018-01-01,1.11133948798714011
2018-04-01,1.09675142944477000
2018-07-01,0.75785479144219403
2018-10-01,0.09975397295188630
2019-01-01,0.59171448287080697
2019-04-01,0.72749989692017103
2019-07-01,0.84683309447285005
2019-10-01,0.63857661380133202
2020-01-01,-0.91149351618405505
2020-04-01,-4.47084184374976967
2020-07-01,0.87557780259530804
2020-10-01,0.70278344915382596
2021-01-01,2.48178672460141980
2021-04-01,7.10669505415530001
2021-07-01,1.25810354609122999
2021-10-01,2.26932317167884001
2022-01-01,1.00994283930361006
2022-04-01,-0.15845890899760601
2022-07-01,0.00685708031101540
2022-10-01,-0.61188413302740396
2023-01-01,-0.34260180489828301
