observation_date,CANPIEAMP01GYM
1957-01-01,3.0075187626
1957-02-01,3.0075187626
1957-03-01,2.2388059268
1957-04-01,2.2388059268
1957-05-01,2.2388059268
1957-06-01,1.4814815000
1957-07-01,2.2388059268
1957-08-01,1.4814815000
1957-09-01,1.4814815000
1957-10-01,1.4814815000
1957-11-01,0.7352941268
1957-12-01,0.7352941268
1958-01-01,0.0000000000
1958-02-01,0.0000000000
1958-03-01,0.0000000000
1958-04-01,0.0000000000
1958-05-01,0.0000000000
1958-06-01,0.0000000000
1958-07-01,0.0000000000
1958-08-01,0.0000000000
1958-09-01,0.0000000000
1958-10-01,0.0000000000
1958-11-01,0.7299270163
1958-12-01,0.7299270163
1959-01-01,0.7299270163
1959-02-01,0.7299270163
1959-03-01,0.7299270163
1959-04-01,0.7299270163
1959-05-01,0.7299270163
1959-06-01,0.7299270163
1959-07-01,0.7299270163
1959-08-01,0.7299270163
1959-09-01,1.4598540326
1959-10-01,0.7299270163
1959-11-01,0.0000000000
1959-12-01,0.0000000000
1960-01-01,0.7246376900
1960-02-01,0.0000000000
1960-03-01,0.0000000000
1960-04-01,0.7246376900
1960-05-01,0.0000000000
1960-06-01,0.7246376900
1960-07-01,0.7246376900
1960-08-01,0.7246376900
1960-09-01,0.0000000000
1960-10-01,0.7246376900
1960-11-01,0.0000000000
1960-12-01,0.7246376900
1961-01-01,0.0000000000
1961-02-01,0.7246376900
1961-03-01,0.0000000000
1961-04-01,0.0000000000
1961-05-01,0.0000000000
1961-06-01,0.7194244692
1961-07-01,0.0000000000
1961-08-01,0.0000000000
1961-09-01,0.0000000000
1961-10-01,0.0000000000
1961-11-01,0.7246376900
1961-12-01,0.7194244692
1962-01-01,0.7194244692
1962-02-01,0.7194244692
1962-03-01,1.4492753800
1962-04-01,0.7194244692
1962-05-01,2.1739130701
1962-06-01,0.7142857229
1962-07-01,2.1582734075
1962-08-01,2.1582734075
1962-09-01,2.1582734075
1962-10-01,2.1582734075
1962-11-01,2.1582734075
1962-12-01,1.4285714458
1963-01-01,1.4285714458
1963-02-01,1.4285714458
1963-03-01,1.4285714458
1963-04-01,1.4285714458
1963-05-01,0.7092198666
1963-06-01,1.4184396668
1963-07-01,0.7042252945
1963-08-01,0.7042252945
1963-09-01,0.7042252945
1963-10-01,0.7042252945
1963-11-01,1.4084506550
1963-12-01,0.7042252945
1964-01-01,1.4084506550
1964-02-01,1.4084506550
1964-03-01,1.4084506550
1964-04-01,1.4084506550
1964-05-01,1.4084506550
1964-06-01,0.6993007080
1964-07-01,0.6993007080
1964-08-01,0.6993007080
1964-09-01,0.6993007080
1964-10-01,0.6993007080
1964-11-01,0.0000000000
1964-12-01,0.6993007080
1965-01-01,0.0000000000
1965-02-01,0.6944444530
1965-03-01,0.6944444530
1965-04-01,0.6944444530
1965-05-01,0.6944444530
1965-06-01,2.0833333591
1965-07-01,2.0833333591
1965-08-01,2.0833333591
1965-09-01,2.0833333591
1965-10-01,2.0833333591
1965-11-01,2.0833333591
1965-12-01,2.0833333591
1966-01-01,2.7777778121
1966-02-01,2.7586207235
1966-03-01,3.4482758398
1966-04-01,2.7586207235
1966-05-01,3.4482758398
1966-06-01,2.0408162875
1966-07-01,2.0408162875
1966-08-01,2.0408162875
1966-09-01,2.7210884046
1966-10-01,2.0408162875
1966-11-01,2.7210884046
1966-12-01,2.7210884046
1967-01-01,2.0270269881
1967-02-01,2.0134227800
1967-03-01,2.0000000250
1967-04-01,2.6845637276
1967-05-01,2.6666667000
1967-06-01,2.6666667000
1967-07-01,2.6666667000
1967-08-01,2.6666667000
1967-09-01,1.9867549916
1967-10-01,2.6666667000
1967-11-01,1.9867549916
1967-12-01,1.9867549916
1968-01-01,2.6490066554
1968-02-01,1.9736842349
1968-03-01,1.9607843377
1968-04-01,1.3071895585
1968-05-01,0.6493506573
1968-06-01,1.2987013145
1968-07-01,1.2987013145
1968-08-01,1.2987013145
1968-09-01,1.9480519718
1968-10-01,1.9480519718
1968-11-01,2.5974025682
1968-12-01,2.5974025682
1969-01-01,2.5806451320
1969-02-01,3.8709677283
1969-03-01,3.2051281836
1969-04-01,3.8709677283
1969-05-01,3.8709677283
1969-06-01,3.8461538323
1969-07-01,3.2051281836
1969-08-01,3.2051281836
1969-09-01,3.1847133541
1969-10-01,3.1847133541
1969-11-01,3.1645570014
1969-12-01,3.7974684017
1970-01-01,4.4025157188
1970-02-01,3.7267080619
1970-03-01,4.3478260819
1970-04-01,4.3478260819
1970-05-01,4.3478260819
1970-06-01,2.4691357746
1970-07-01,2.4844720801
1970-08-01,1.8633540600
1970-09-01,1.2345679162
1970-10-01,1.8518518744
1970-11-01,1.2269938798
1970-12-01,0.6097561049
1971-01-01,0.6024096460
1971-02-01,0.5988024026
1971-03-01,0.0000000000
1971-04-01,0.0000000000
1971-05-01,0.0000000000
1971-06-01,1.2048192921
1971-07-01,3.0303030096
1971-08-01,3.6585365721
1971-09-01,3.6585365721
1971-10-01,3.0303030096
1971-11-01,3.0303030096
1971-12-01,3.6363636229
1972-01-01,3.5928143595
1972-02-01,3.5714285595
1972-03-01,4.1666666620
1972-04-01,4.7619047646
1972-05-01,4.7619047646
1972-06-01,4.7619047646
1972-07-01,4.1176470536
1972-08-01,4.1176470536
1972-09-01,4.7058823549
1972-10-01,4.7058823549
1972-11-01,5.2941176561
1972-12-01,5.8479531773
1973-01-01,6.3583815279
1973-02-01,6.8965517557
1973-03-01,7.4285714665
1973-04-01,7.9545454455
1973-05-01,9.6590909209
1973-06-01,10.7954545712
1973-07-01,11.8644067653
1973-08-01,14.6892655568
1973-09-01,13.4831460727
1973-10-01,14.6067415393
1973-11-01,14.5251396303
1973-12-01,14.9171271019
1974-01-01,16.8478260892
1974-02-01,17.2043010818
1974-03-01,17.5531914501
1974-04-01,19.4736842040
1974-05-01,18.6528497246
1974-06-01,18.4615384431
1974-07-01,19.1919191914
1974-08-01,18.2266009732
1974-09-01,19.8019801585
1974-10-01,20.5882353198
1974-11-01,21.4634146705
1974-12-01,19.7115384761
1975-01-01,17.6744186024
1975-02-01,16.5137614517
1975-03-01,14.9321267108
1975-04-01,12.7753304309
1975-05-01,13.1004366784
1975-06-01,12.1212121065
1975-07-01,10.1694915315
1975-08-01,9.5833333322
1975-09-01,9.0909091261
1975-10-01,8.1300812856
1975-11-01,6.8273092063
1975-12-01,7.2289156368
1976-01-01,6.3241106752
1976-02-01,5.9055118091
1976-03-01,5.9055118091
1976-04-01,5.4687499928
1976-05-01,5.0193050449
1976-06-01,5.4054053995
1976-07-01,5.3846153785
1976-08-01,4.1825094851
1976-09-01,4.5454545293
1976-10-01,3.7593985074
1976-11-01,4.1353383616
1976-12-01,4.8689138824
1977-01-01,5.2044609603
1977-02-01,6.3197026096
1977-03-01,7.4349442241
1977-04-01,8.5185185179
1977-05-01,8.0882352883
1977-06-01,7.6923077187
1977-07-01,8.3941605847
1977-08-01,8.3941605847
1977-09-01,8.3333333333
1977-10-01,8.6956521783
1977-11-01,8.6642599318
1977-12-01,8.2142857129
1978-01-01,8.4805653756
1978-02-01,8.0419580412
1978-03-01,7.9584775094
1978-04-01,8.1911262835
1978-05-01,8.1632653094
1978-06-01,8.8435373946
1978-07-01,8.0808080856
1978-08-01,9.0909091081
1978-09-01,9.3645484841
1978-10-01,11.3333333465
1978-11-01,11.6279069623
1978-12-01,11.2211220929
1979-01-01,13.0293159674
1979-02-01,14.2394821914
1979-03-01,14.1025641261
1979-04-01,13.5646687568
1979-05-01,14.1509433904
1979-06-01,14.0624999973
1979-07-01,15.2647975198
1979-08-01,14.8148148212
1979-09-01,15.5963302955
1979-10-01,15.2694610657
1979-11-01,14.8809523962
1979-12-01,15.7270029651
1980-01-01,16.7146973934
1980-02-01,15.2974504259
1980-03-01,13.7640449262
1980-04-01,13.3333333403
1980-05-01,12.9476584044
1980-06-01,12.8767123334
1980-07-01,12.4324324316
1980-08-01,13.4408602012
1980-09-01,12.6984127039
1980-10-01,12.2077922103
1980-11-01,12.9533678629
1980-12-01,12.0512820548
1981-01-01,9.1358024655
1981-02-01,9.5823095841
1981-03-01,10.8641975484
1981-04-01,11.0294117612
1981-05-01,11.2195121939
1981-06-01,11.8932038931
1981-07-01,11.5384615437
1981-08-01,10.9004739335
1981-09-01,10.0938967038
1981-10-01,9.4907407259
1981-11-01,8.2568807491
1981-12-01,8.2379862635
1982-01-01,8.3710407421
1982-02-01,8.0717488722
1982-03-01,8.0178173646
1982-04-01,7.9470198611
1982-05-01,7.6754385868
1982-06-01,6.9414316736
1982-07-01,6.4655172389
1982-08-01,5.3418803471
1982-09-01,5.9701492466
1982-10-01,5.2854122676
1982-11-01,5.2966101542
1982-12-01,5.0739957746
1983-01-01,3.7578287969
1983-02-01,3.1120331943
1983-03-01,3.5051546432
1983-04-01,3.0674846619
1983-05-01,3.2586558061
1983-06-01,3.6511156061
1983-07-01,3.6437246837
1983-08-01,4.0567951242
1983-09-01,3.0181086512
1983-10-01,3.2128514073
1983-11-01,3.4205231430
1983-12-01,4.0241448808
1984-01-01,4.8289738457
1984-02-01,5.2313883375
1984-03-01,4.9800796670
1984-04-01,5.3571428671
1984-05-01,4.7337278129
1984-06-01,3.9138943363
1984-07-01,4.4921875002
1984-08-01,4.2884990230
1984-09-01,4.2968749978
1984-10-01,3.8910505765
1984-11-01,4.4747081712
1984-12-01,4.0618955462
1985-01-01,3.8387716041
1985-02-01,3.6328871798
1985-03-01,3.4155597786
1985-04-01,2.6365348367
1985-05-01,2.8248587562
1985-06-01,2.8248587562
1985-07-01,2.0560747741
1985-08-01,1.8691588839
1985-09-01,2.2471910213
1985-10-01,2.6217228611
1985-11-01,2.2346368814
1985-12-01,2.7881040884
1986-01-01,2.0332717090
1986-02-01,1.6605166083
1986-03-01,0.9174311867
1986-04-01,0.7339449631
1986-05-01,-0.1831501854
1986-06-01,0.1831501854
1986-07-01,0.3663003708
1986-08-01,1.1009174274
1986-09-01,1.0989010951
1986-10-01,1.2773722612
1986-11-01,1.0928961710
1986-12-01,0.1808318286
1987-01-01,0.9057970955
1987-02-01,0.7259528220
1987-03-01,0.9090909202
1987-04-01,1.8214936127
1987-05-01,3.4862385403
1987-06-01,3.2906764054
1987-07-01,3.6496350295
1987-08-01,3.6297640758
1987-09-01,3.4420289936
1987-10-01,3.2432432320
1987-11-01,3.9639639615
1987-12-01,4.3321299659
1988-01-01,4.6678635616
1988-02-01,4.6846846741
1988-03-01,5.0450450388
1988-04-01,4.6511627973
1988-05-01,4.2553191341
1988-06-01,4.4247787656
1988-07-01,4.4014084549
1988-08-01,4.2031523661
1988-09-01,4.2031523661
1988-10-01,3.8394415502
1988-11-01,3.8128249544
1988-12-01,3.6332179886
1989-01-01,3.4305317422
1989-02-01,3.7865748851
1989-03-01,3.7735849035
1989-04-01,3.2478632393
1989-05-01,2.7210884369
1989-06-01,2.5423728807
1989-07-01,1.8549746959
1989-08-01,1.3445378157
1989-09-01,1.1764705868
1989-10-01,1.0084033578
1989-11-01,0.0000000000
1989-12-01,-0.1669449102
1990-01-01,-0.8291874064
1990-02-01,0.0000000000
1990-03-01,-0.4958677592
1990-04-01,-0.4966887323
1990-05-01,0.0000000000
1990-06-01,-0.3305785010
1990-07-01,-0.4966887323
1990-08-01,-0.1658374813
1990-09-01,0.8305647786
1990-10-01,1.3311148092
1990-11-01,2.0033388913
1990-12-01,2.3411371210
1991-01-01,2.3411371210
1991-02-01,0.9950248721
1991-03-01,0.3322259021
1991-04-01,0.0000000000
1991-05-01,-0.9933774801
1991-06-01,-0.8291874064
1991-07-01,-0.8319467655
1991-08-01,-1.4950166139
1991-09-01,-2.4711696862
1991-10-01,-2.7914614153
1991-11-01,-3.1096562933
1991-12-01,-3.4313725451
1992-01-01,-3.9215686296
1992-02-01,-2.4630541864
1992-03-01,-1.4900662124
1992-04-01,-1.1647254561
1992-05-01,0.0000000000
1992-06-01,0.3344481646
1992-07-01,0.8389261848
1992-08-01,1.5177065794
1992-09-01,2.1959459411
1992-10-01,2.8716216250
1992-11-01,3.3783783721
1992-12-01,3.7225042280
1993-01-01,5.2721088445
1993-02-01,4.2087541968
1993-03-01,4.3697478892
1993-04-01,4.3771043672
1993-05-01,3.5117056815
1993-06-01,2.8333333366
1993-07-01,2.8286189716
1993-08-01,3.4883720887
1993-09-01,3.1404958752
1993-10-01,3.1198686289
1993-11-01,2.9411764760
1993-12-01,3.4257748737
1994-01-01,2.7463651084
1994-02-01,3.8772213268
1994-03-01,4.0257648993
1994-04-01,4.6774193668
1994-05-01,5.4927302168
1994-06-01,6.9692058282
1994-07-01,7.2815533954
1994-08-01,7.5441412537
1994-09-01,6.8910256347
1994-10-01,7.0063694379
1994-11-01,7.9365079292
1994-12-01,8.2018927564
1995-01-01,10.3773584996
1995-02-01,9.4867807149
1995-03-01,9.5975232207
1995-04-01,8.6286594653
1995-05-01,7.9632465510
1995-06-01,7.5757575831
1995-07-01,7.5414781224
1995-08-01,6.2686567088
1995-09-01,7.1964018028
1995-10-01,5.9523809409
1995-11-01,4.8529411809
1995-12-01,4.2274052446
1996-01-01,1.7094017035
1996-02-01,1.4204545495
1996-03-01,0.1412429396
1996-04-01,0.4255319201
1996-05-01,1.4184397204
1996-06-01,0.0000000000
1996-07-01,-0.4207573553
1996-08-01,0.4213483198
1996-09-01,0.1398601416
1996-10-01,0.1404494399
1996-11-01,-0.1402524561
1996-12-01,0.0000000000
1997-01-01,0.0000000000
1997-02-01,0.0000000000
1997-03-01,0.8462623384
1997-04-01,1.8361581880
1997-05-01,0.6993006947
1997-06-01,0.9859154917
1997-07-01,0.7042253475
1997-08-01,0.6993006947
1997-09-01,0.2793296123
1997-10-01,0.5610098245
1997-11-01,1.2640449461
1997-12-01,0.6993006947
1998-01-01,0.8403361316
1998-02-01,0.7002801075
1998-03-01,-0.6993006947
1998-04-01,-0.5547850146
1998-05-01,-0.4166666587
1998-06-01,0.1394700156
1998-07-01,0.8391608363
1998-08-01,0.6944444529
1998-09-01,0.4178272901
1998-10-01,1.3947001303
1998-11-01,0.8321775284
1998-12-01,0.1388888906
1999-01-01,0.1388888906
1999-02-01,-0.2781641072
1999-03-01,2.1126760556
1999-04-01,1.1157601121
1999-05-01,1.2552301146
1999-06-01,1.2534818833
1999-07-01,2.3578363412
1999-08-01,1.9310344804
1999-09-01,3.0513176127
1999-10-01,2.2008253107
1999-11-01,2.3383768942
1999-12-01,3.7447988972
2000-01-01,3.7447988972
2000-02-01,5.2998605291
2000-03-01,4.9655172371
2000-04-01,4.9655172371
2000-05-01,5.2341597922
2000-06-01,5.0894085390
2000-07-01,3.5230352352
2000-08-01,3.3829499355
2000-09-01,3.2301480501
2000-10-01,4.1722745632
2000-11-01,4.7043010824
2000-12-01,3.6096256622
2001-01-01,3.0748663099
2001-02-01,2.6490066175
2001-03-01,2.2339027621
2001-04-01,2.7595269349
2001-05-01,2.7486910961
2001-06-01,1.4397905689
2001-07-01,0.6544502575
2001-08-01,0.6544502575
2001-09-01,1.0430247724
2001-10-01,-1.2919896557
2001-11-01,-2.0539152769
2001-12-01,-2.5806451565
2002-01-01,-1.1673151771
2002-02-01,-1.1612903247
2002-03-01,-0.8997429295
2002-04-01,-1.1508951427
2002-05-01,-2.1656050980
2002-06-01,-1.1612903247
2002-07-01,-0.1300390133
2002-08-01,0.6501950543
2002-09-01,0.6451612861
2002-10-01,2.3560209342
2002-11-01,2.0969855842
2002-12-01,2.9139072830
2003-01-01,2.4934383137
2003-02-01,2.8720626616
2003-03-01,1.8158236035
2003-04-01,-0.2587322032
2003-05-01,-1.8229166645
2003-06-01,-2.3498694437
2003-07-01,-1.4322916719
2003-08-01,-1.6795865596
2003-09-01,-2.4358974297
2003-10-01,-3.9641943739
2003-11-01,-3.9794608475
2003-12-01,-3.4749034811
2004-01-01,-3.2010243190
2004-02-01,-1.9035532990
2004-03-01,-0.8917197441
2004-04-01,2.2049286544
2004-05-01,6.6312997285
2004-06-01,6.9518716545
2004-07-01,5.4161162528
2004-08-01,5.3876478359
2004-09-01,4.8620236508
2004-10-01,5.5925432816
2004-11-01,4.0106951858
2004-12-01,3.8666666765
2005-01-01,3.9682539669
2005-02-01,2.9754204399
2005-03-01,2.8277634944
2005-04-01,1.9035532990
2005-05-01,-0.2487562103
2005-06-01,0.0000000000
2005-07-01,0.0000000000
2005-08-01,-0.1246882808
2005-09-01,1.1278195509
2005-10-01,1.8915510713
2005-11-01,3.0848329063
2005-12-01,2.6957637964
2006-01-01,2.5445292573
2006-02-01,0.7537688535
2006-03-01,1.2500000035
2006-04-01,2.1170610238
2006-05-01,2.4937655813
2006-06-01,2.6249999968
2006-07-01,4.6365914766
2006-08-01,3.4956304577
2006-09-01,1.1152416377
2006-10-01,0.8663366326
2006-11-01,1.7456359081
2006-12-01,3.3749999943
2007-01-01,2.8535980148
2007-02-01,4.3640897702
2007-03-01,4.8148148039
2007-04-01,3.7804878054
2007-05-01,3.1630170360
2007-06-01,2.0706455567
2007-07-01,-0.2395209498
2007-08-01,-0.4825090416
2007-09-01,0.2450980422
2007-10-01,-0.8588957045
2007-11-01,-0.3676470633
2007-12-01,-0.4836759317
2008-01-01,0.3618817897
2008-02-01,-0.5973715612
2008-03-01,0.0000000000
2008-04-01,1.4101057642
2008-05-01,2.8301886694
2008-06-01,5.9665871066
2008-07-01,7.5630252007
2008-08-01,8.8484848424
2008-09-01,8.5574572021
2008-10-01,9.7772277259
2008-11-01,5.9040590436
2008-12-01,1.9441069268
2009-01-01,0.8413461528
2009-02-01,1.3221153782
2009-03-01,-0.3533568837
2009-04-01,-2.3174971096
2009-05-01,-4.4724770545
2009-06-01,-5.7432432397
2009-07-01,-7.1428571361
2009-08-01,-6.9042316266
2009-09-01,-6.3063062991
2009-10-01,-6.5388951577
2009-11-01,-2.9036004673
2009-12-01,-0.3575685383
2010-01-01,0.2383790255
2010-02-01,-0.2372479159
2010-03-01,-0.5910165446
2010-04-01,0.2372479270
2010-05-01,1.8007202875
2010-06-01,0.5973715612
2010-07-01,1.0817307711
2010-08-01,0.9569377995
2010-09-01,2.2836538401
2010-10-01,3.4981905886
2010-11-01,3.5885167454
2010-12-01,4.5454545449
2011-01-01,4.6373364936
2011-02-01,5.8263971390
2011-03-01,7.6099881015
2011-04-01,8.1656804732
2011-05-01,7.3113207552
2011-06-01,8.0760095110
2011-07-01,8.2045184298
2011-08-01,8.6492891052
2011-09-01,8.2256169227
2011-10-01,6.6433566482
2011-11-01,6.0046189461
2011-12-01,4.0045766651
2012-01-01,3.8636363684
2012-02-01,3.4831460678
2012-03-01,2.3204419862
2012-04-01,1.4223194717
2012-05-01,1.0989010917
2012-06-01,0.5494505458
2012-07-01,0.1098901009
2012-08-01,-0.5452562771
2012-09-01,0.1085776343
2012-10-01,0.5464480838
2012-11-01,-0.1089324632
2012-12-01,0.5500550019
2013-01-01,0.4376367668
2013-02-01,1.0857763332
2013-03-01,0.3239740860
2013-04-01,-0.8629989217
2013-05-01,-0.2173912968
2013-06-01,0.5464480838
2013-07-01,1.0976948440
2013-08-01,1.4254386036
2013-09-01,0.0000000000
2013-10-01,-0.2173912968
2013-11-01,0.2181025006
2013-12-01,1.3129102800
2014-01-01,2.3965141597
2014-02-01,2.1482277081
2014-03-01,2.9063509202
2014-04-01,3.8084874922
2014-05-01,3.2679738551
2014-06-01,3.1521739108
2014-07-01,2.8230184621
2014-08-01,2.5945945856
2014-09-01,2.6030368776
2014-10-01,2.3965141597
2014-11-01,1.9586507109
2014-12-01,-0.4319654379
2015-01-01,-2.1276595804
2015-02-01,-1.3669821211
2015-03-01,-1.6736401681
2015-04-01,-2.3060796632
2015-05-01,-1.1603375570
2015-06-01,-0.7376185450
2015-07-01,0.2111932345
2015-08-01,-0.4214963072
2015-09-01,-0.5285412227
2015-10-01,-0.3191489401
2015-11-01,-0.3201707616
2015-12-01,1.0845987015
2016-01-01,1.7391304357
2016-02-01,-1.1727078934
2016-03-01,-2.0212766004
2016-04-01,-1.6094420596
2016-05-01,-1.0672358621
2016-06-01,-0.7430997868
2016-07-01,-1.1591148522
2016-08-01,-1.0582010612
2016-09-01,-0.3188097807
2016-10-01,0.9605122749
2016-11-01,1.7130620994
2016-12-01,2.1459227427
2017-01-01,2.4572649572
2017-02-01,3.6677454197
2017-03-01,5.2117263870
2017-04-01,6.2159214769
2017-05-01,5.2858683967
2017-06-01,3.2085561489
2017-07-01,1.3859275022
2017-08-01,2.0320855663
2017-09-01,1.3859275022
2017-10-01,1.5856236782
2017-11-01,2.7368421091
2017-12-01,2.4159663865
2018-01-01,2.2940563074
2018-02-01,2.2892819966
2018-03-01,2.3735810113
2018-04-01,2.4640657097
2018-05-01,3.4836065615
2018-06-01,5.2849740997
2018-07-01,6.5194532080
2018-08-01,5.6603773587
2018-09-01,6.2039958007
2018-10-01,5.2029136268
2018-11-01,2.6639344299
2018-12-01,2.0512820475
2019-01-01,1.0193679948
2019-02-01,1.1190234019
2019-03-01,1.4112903209
2019-04-01,1.7034068156
2019-05-01,0.3960395995
2019-06-01,-1.6732283484
2019-07-01,-1.6781836150
2019-08-01,-0.9920634948
2019-09-01,-1.2871287192
2019-10-01,-1.3847675553
2019-11-01,-0.3992016017
2019-12-01,0.5025125690
2020-01-01,0.9081735637
2020-02-01,0.6036217283
2020-03-01,-1.6898608370
2020-04-01,-4.4334975356
2020-05-01,-3.4516765245
2020-06-01,-1.9019019063
2020-07-01,-0.5020080289
2020-08-01,0.3006012061
2020-09-01,1.1033099339
2020-10-01,1.2036108378
2020-11-01,0.7014028048
2020-12-01,2.0999999975
2021-01-01,4.2999999962
2021-02-01,7.3999999964
2021-03-01,10.4145601659
2021-04-01,14.9484536067
2021-05-01,17.2625127674
2021-06-01,17.3469387775
2021-07-01,16.0443995935
2021-08-01,14.4855144839
2021-09-01,15.0793650771
2021-10-01,16.5510406313
2021-11-01,17.0149253758
2021-12-01,15.7688540644
2022-01-01,16.2991371060
2022-02-01,16.0148975828
2022-03-01,18.1318681297
2022-04-01,17.0403587419
2022-05-01,15.5923344885
2022-06-01,14.4347826140
2022-07-01,11.6521739169
2022-08-01,10.3839441493
2022-09-01,8.9655172376
2022-10-01,9.9489795936
2022-11-01,9.3537414991
2022-12-01,7.6142131958
