time,soft_high_cip_stress
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,-0.0028422628432204222
2012-06-30 00:00:00+00:00,-0.0011509951335714197
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0007230344063011707
2012-12-31 00:00:00+00:00,0.004174268088062094
2013-01-31 00:00:00+00:00,-0.0005889309866476955
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,-0.00018235287451195958
2014-01-31 00:00:00+00:00,0.0010342001145717816
2014-02-28 00:00:00+00:00,0.000314394790035033
2014-03-31 00:00:00+00:00,0.004999152889789027
2014-04-30 00:00:00+00:00,0.0006175140828619252
2014-05-31 00:00:00+00:00,0.0024896285510913607
2014-06-30 00:00:00+00:00,0.0015489315119412428
2014-07-31 00:00:00+00:00,-0.0020176586809235175
2014-08-31 00:00:00+00:00,0.0031727660487956832
2014-09-30 00:00:00+00:00,0.0036395645709572655
2014-10-31 00:00:00+00:00,0.0006911359087924396
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,-0.002092748883166018
2015-01-31 00:00:00+00:00,-0.0003386326058979483
2015-02-28 00:00:00+00:00,-0.01056031473483876
2015-03-31 00:00:00+00:00,-0.0003931055695840513
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,-0.002068416012286356
2015-12-31 00:00:00+00:00,0.00019119149809743163
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.00952053278127396
2016-03-31 00:00:00+00:00,-0.001379974844322951
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.005290459510257417
2018-03-31 00:00:00+00:00,0.001177551889118833
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,0.000896595779477094
