time,us_ca_gr_fx
2019-03-31 00:00:00+00:00,-0.002750215007536694
2019-04-30 00:00:00+00:00,-0.004519908502948922
2019-05-31 00:00:00+00:00,-0.0045886498126548325
2019-06-30 00:00:00+00:00,0.010489461102606512
2019-07-31 00:00:00+00:00,-0.010454798891388006
2019-08-31 00:00:00+00:00,-0.001980848068265262
2019-09-30 00:00:00+00:00,-0.0012056027539247838
2019-10-31 00:00:00+00:00,0.0
2019-11-30 00:00:00+00:00,0.0
2019-12-31 00:00:00+00:00,0.0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,0.0
2020-04-30 00:00:00+00:00,0.0
2020-05-31 00:00:00+00:00,0.0
2020-06-30 00:00:00+00:00,0.0
2020-07-31 00:00:00+00:00,0.0
2020-08-31 00:00:00+00:00,0.0
2020-09-30 00:00:00+00:00,0.0
2020-10-31 00:00:00+00:00,0.0
2020-11-30 00:00:00+00:00,0.0
2020-12-31 00:00:00+00:00,0.013129942539686246
2021-01-31 00:00:00+00:00,-0.0030324392336337214
2021-02-28 00:00:00+00:00,0.003909514622586485
2021-03-31 00:00:00+00:00,-0.015518352475173414
2021-04-30 00:00:00+00:00,0.013245250513821638
2021-05-31 00:00:00+00:00,0.003725724359247673
2021-06-30 00:00:00+00:00,-0.01434530499133524
2021-07-31 00:00:00+00:00,0.002367206344264794
2021-08-31 00:00:00+00:00,-0.0040512555796548
2021-09-30 00:00:00+00:00,-0.007956058277604927
2021-10-31 00:00:00+00:00,0.010580855023281543
2021-11-30 00:00:00+00:00,-0.015557740151388
2021-12-31 00:00:00+00:00,0.002107812597085701
2022-01-31 00:00:00+00:00,-0.008629098053602124
2022-02-28 00:00:00+00:00,0.003635473122867383
2022-03-31 00:00:00+00:00,0.001611864751859704
2022-04-30 00:00:00+00:00,-0.026189953915934372
2022-05-31 00:00:00+00:00,0.006428372385399728
2022-06-30 00:00:00+00:00,-0.015038645081128954
2022-07-31 00:00:00+00:00,0.0011177995399658247
2022-08-31 00:00:00+00:00,-0.014737289871613046
2022-09-30 00:00:00+00:00,-0.01693207058953028
2022-10-31 00:00:00+00:00,0.00028128847826214276
2022-11-30 00:00:00+00:00,0.020412000355857884
2022-12-31 00:00:00+00:00,0.011121167041550972
2023-01-31 00:00:00+00:00,0.009438698928958322
2023-02-28 00:00:00+00:00,-0.014841983110914225
2023-03-31 00:00:00+00:00,-0.0012048609660659793
2023-04-30 00:00:00+00:00,0.0
2023-05-31 00:00:00+00:00,0.0
2023-06-30 00:00:00+00:00,0.0
2023-07-31 00:00:00+00:00,0.0
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,0.0
2023-10-31 00:00:00+00:00,0.0
2023-11-30 00:00:00+00:00,0.0
2023-12-31 00:00:00+00:00,0.0
2024-01-31 00:00:00+00:00,0.0
2024-02-29 00:00:00+00:00,0.0
2024-03-31 00:00:00+00:00,0.0
2024-04-30 00:00:00+00:00,0.0
2024-05-31 00:00:00+00:00,0.0
2024-06-30 00:00:00+00:00,0.0
2024-07-31 00:00:00+00:00,0.0
2024-08-31 00:00:00+00:00,0.0
2024-09-30 00:00:00+00:00,0.0
2024-10-31 00:00:00+00:00,0.0
2024-11-30 00:00:00+00:00,0.0
2024-12-31 00:00:00+00:00,0.0
2025-01-31 00:00:00+00:00,0.0
2025-02-28 00:00:00+00:00,0.0
2025-03-31 00:00:00+00:00,0.00769448575329168
2025-04-30 00:00:00+00:00,0.02219170963905981
2025-05-31 00:00:00+00:00,0.0019415602672605559
2025-06-30 00:00:00+00:00,0.010177070840653668
2025-07-31 00:00:00+00:00,-0.015532921516309361
2025-08-31 00:00:00+00:00,0.008140352694541386
2025-09-30 00:00:00+00:00,-0.0015598145418216358
2025-10-31 00:00:00+00:00,-0.0072871595421374336
2025-11-30 00:00:00+00:00,-0.001412162509191739
2025-12-31 00:00:00+00:00,0.0074237556257312765
2026-01-31 00:00:00+00:00,0.015279258855829259
2026-02-28 00:00:00+00:00,-0.006225658074148432
2026-03-31 00:00:00+00:00,-0.011826839394624256
2026-04-30 00:00:00+00:00,0.011483967814240437
2026-05-31 00:00:00+00:00,-0.002811956946155103
2026-06-30 00:00:00+00:00,-0.014827869819455497
2026-07-31 00:00:00+00:00,0.00777241848809207
2026-08-31 00:00:00+00:00,0.0038841231401125498
2026-09-30 00:00:00+00:00,-0.002917121123440669
