time,cip_stress_haven_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.024807864495265175
2012-06-30 00:00:00+00:00,-0.0021593452656061274
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,-4.443809604326443e-05
2012-12-31 00:00:00+00:00,-0.0017790442807154028
2013-01-31 00:00:00+00:00,-0.00048302945166833755
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,-0.002437681405240033
2014-01-31 00:00:00+00:00,0.007206058065670762
2014-02-28 00:00:00+00:00,-0.005973936049940787
2014-03-31 00:00:00+00:00,-0.006063300965369001
2014-04-30 00:00:00+00:00,-0.0018862710716858189
2014-05-31 00:00:00+00:00,0.003350453254378216
2014-06-30 00:00:00+00:00,-0.0072198906406018
2014-07-31 00:00:00+00:00,0.008915074004840484
2014-08-31 00:00:00+00:00,0.0043594315426986885
2014-09-30 00:00:00+00:00,0.018898007796044336
2014-10-31 00:00:00+00:00,-0.00171148125344589
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.00871562005901616
2015-01-31 00:00:00+00:00,0.0012092879056078143
2015-02-28 00:00:00+00:00,-0.001957115571010082
2015-03-31 00:00:00+00:00,0.0017789411744824069
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,0.011343815801340806
2015-12-31 00:00:00+00:00,-0.0038290668134609573
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,-0.0019366277120184128
2016-03-31 00:00:00+00:00,-0.001993623778023146
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.00977655673964084
2018-03-31 00:00:00+00:00,2.0190437620692947e-05
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,-0.002601799153403528
