time,mom_high_vix
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,-0.001222550738264938
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,-0.0017724456263451538
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,-0.0026782502723756707
2013-10-31 00:00:00+00:00,-0.010227157179215851
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,-4.704696554636012e-05
2014-02-28 00:00:00+00:00,-0.007333211525551442
2014-03-31 00:00:00+00:00,-0.0006529756623478988
2014-04-30 00:00:00+00:00,0.0003487220408133762
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,-0.000717091691734506
2014-09-30 00:00:00+00:00,0.0015637053008432655
2014-10-31 00:00:00+00:00,-0.002709552521424241
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0004795201379219627
2015-01-31 00:00:00+00:00,-0.005096019912835925
2015-02-28 00:00:00+00:00,0.005671030827288259
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.006509898466106279
2015-08-31 00:00:00+00:00,-0.012773026228009687
2015-09-30 00:00:00+00:00,-0.0012951828918735808
2015-10-31 00:00:00+00:00,-0.010790311912107997
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,-0.00029893599833719087
2016-01-31 00:00:00+00:00,0.009081322275136028
2016-02-29 00:00:00+00:00,0.009166024176686216
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.00201365895142791
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0008482274792258604
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,-0.0012060106234861312
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,-0.00014999999999998348
2018-02-28 00:00:00+00:00,0.006109527182065033
2018-03-31 00:00:00+00:00,-0.00341799912246854
2018-04-30 00:00:00+00:00,-0.008630011012763728
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,0.0
