time,soft_low_cip_stress
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,-9.021417723520386e-05
2012-02-29 00:00:00+00:00,-0.0019894840704732797
2012-03-31 00:00:00+00:00,0.001973421244709783
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,0.0
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.012380476210116731
2016-07-31 00:00:00+00:00,0.0006250512808438913
2016-08-31 00:00:00+00:00,-0.0030326468451719046
2016-09-30 00:00:00+00:00,-0.0031225932890652786
2016-10-31 00:00:00+00:00,-0.0012374274213989844
2016-11-30 00:00:00+00:00,0.006050702533310748
2016-12-31 00:00:00+00:00,0.0018129480263304742
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0026230724254778792
2017-03-31 00:00:00+00:00,-0.0015921489971518765
2017-04-30 00:00:00+00:00,-0.0001726036968866529
2017-05-31 00:00:00+00:00,-0.002682447124406684
2017-06-30 00:00:00+00:00,0.003230892516647099
2017-07-31 00:00:00+00:00,0.000326551549448828
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.003040687613079962
2017-10-31 00:00:00+00:00,-7.771976262216373e-05
2017-11-30 00:00:00+00:00,0.0005255503793339944
2017-12-31 00:00:00+00:00,-0.0013970794532589537
2018-01-31 00:00:00+00:00,0.0019984156599652803
2018-02-28 00:00:00+00:00,-3.377370777735145e-05
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,0.0
2018-08-31 00:00:00+00:00,0.0
