time,spread_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.005564593044487642
2012-01-31 00:00:00+00:00,0.0005674837940623512
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.006050319377109981
2014-10-31 00:00:00+00:00,-0.004281000114816802
2014-11-30 00:00:00+00:00,-0.0003379687106540574
2014-12-31 00:00:00+00:00,0.00011712621307369275
2015-01-31 00:00:00+00:00,0.02015954447877588
2015-02-28 00:00:00+00:00,-0.0013427540205596111
2015-03-31 00:00:00+00:00,0.014507977859516519
2015-04-30 00:00:00+00:00,-0.018596334191841146
2015-05-31 00:00:00+00:00,0.006064258560942282
2015-06-30 00:00:00+00:00,-3.743736689498789e-05
2015-07-31 00:00:00+00:00,0.01242004605695013
2015-08-31 00:00:00+00:00,0.006927929530685661
2015-09-30 00:00:00+00:00,0.0035072195366332437
2015-10-31 00:00:00+00:00,-0.0027820694418031477
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,-0.003407295110619435
2016-01-31 00:00:00+00:00,0.014921228515147655
2016-02-29 00:00:00+00:00,0.0004661868501718569
2016-03-31 00:00:00+00:00,-0.005170214419618957
2016-04-30 00:00:00+00:00,-0.003324054531695042
2016-05-31 00:00:00+00:00,0.0075499533264136165
2016-06-30 00:00:00+00:00,-0.006388616783567502
2016-07-31 00:00:00+00:00,-0.010308555796999963
2016-08-31 00:00:00+00:00,0.0017253926027762656
2016-09-30 00:00:00+00:00,-7.335046089074204e-05
2016-10-31 00:00:00+00:00,0.012037804637567984
2016-11-30 00:00:00+00:00,-0.005521742285454212
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,-0.0016251125844685133
2017-02-28 00:00:00+00:00,-0.0031198079430206915
2017-03-31 00:00:00+00:00,0.003917969623427275
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,-0.0006070957652224429
2018-04-30 00:00:00+00:00,0.010075191601170319
2018-05-31 00:00:00+00:00,0.006985859636328806
