time,soft_high_vix
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,-0.00042720772921467365
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,-0.000818001426815429
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,-0.0005682207046040499
2013-10-31 00:00:00+00:00,-0.0015053831783078397
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0002621677170899783
2014-02-28 00:00:00+00:00,-0.0015204340339816103
2014-03-31 00:00:00+00:00,0.0008152605598437113
2014-04-30 00:00:00+00:00,-0.0010114559995287875
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,-0.001059228085905528
2014-09-30 00:00:00+00:00,0.00018142198030202117
2014-10-31 00:00:00+00:00,0.000229784567265634
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,-1.3004538922611886e-05
2015-01-31 00:00:00+00:00,0.012789925025393556
2015-02-28 00:00:00+00:00,-0.0034967063665909404
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0008833429698780204
2015-08-31 00:00:00+00:00,0.004167284858226372
2015-09-30 00:00:00+00:00,0.0005728398108648669
2015-10-31 00:00:00+00:00,0.0013518251077591081
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,0.0008052143152879054
2016-01-31 00:00:00+00:00,0.005186149801525097
2016-02-29 00:00:00+00:00,0.006160218471555012
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,-0.002676463688412123
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,2.3434203608063697e-05
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,5.357555010698789e-05
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0003277256191174249
2018-02-28 00:00:00+00:00,0.005256507124045795
2018-03-31 00:00:00+00:00,-0.002445051075609217
2018-04-30 00:00:00+00:00,0.0008582132434649115
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
