time,us_fiscal_haven_usd
2011-10-31 00:00:00+00:00,-0.0220569610086363
2011-11-30 00:00:00+00:00,0.023536196315111724
2011-12-31 00:00:00+00:00,0.0016398349478101704
2012-01-31 00:00:00+00:00,-0.0017436087502264996
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,0.0
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,0.0
2018-08-31 00:00:00+00:00,0.0
2018-09-30 00:00:00+00:00,0.0
2018-10-31 00:00:00+00:00,0.0
2018-11-30 00:00:00+00:00,0.0
2018-12-31 00:00:00+00:00,0.0
2019-01-31 00:00:00+00:00,0.0
2019-02-28 00:00:00+00:00,0.0
2019-03-31 00:00:00+00:00,0.0
2019-04-30 00:00:00+00:00,0.0
2019-05-31 00:00:00+00:00,0.0036196434542519196
2019-06-30 00:00:00+00:00,-0.010428591320859826
2019-07-31 00:00:00+00:00,0.010504312121110582
2019-08-31 00:00:00+00:00,0.001960529734837513
2019-09-30 00:00:00+00:00,0.002571775129389664
2019-10-31 00:00:00+00:00,-0.008866182714502346
2019-11-30 00:00:00+00:00,0.0038253371097576316
2019-12-31 00:00:00+00:00,-0.011913206624385109
2020-01-31 00:00:00+00:00,0.00785934848757397
2020-02-29 00:00:00+00:00,0.0059962164308327015
2020-03-31 00:00:00+00:00,0.01282887205706773
2020-04-30 00:00:00+00:00,-0.007091027779445813
2020-05-31 00:00:00+00:00,-0.003690726663120647
2020-06-30 00:00:00+00:00,-0.008468810687260908
2020-07-31 00:00:00+00:00,-0.019639849157959577
2020-08-31 00:00:00+00:00,-0.005444646379208162
2020-09-30 00:00:00+00:00,0.009335545339416829
2020-10-31 00:00:00+00:00,0.0003796642697815322
2020-11-30 00:00:00+00:00,-0.014760539526828431
2020-12-31 00:00:00+00:00,-0.011826618900461772
2021-01-31 00:00:00+00:00,0.002959730710233366
2021-02-28 00:00:00+00:00,-0.003950799372241298
2021-03-31 00:00:00+00:00,0.015663809369126147
2021-04-30 00:00:00+00:00,-0.013123944810618182
2021-05-31 00:00:00+00:00,-0.003794558602491227
2021-06-30 00:00:00+00:00,0.014478691296250235
2021-07-31 00:00:00+00:00,-0.0024174358537177865
2021-08-31 00:00:00+00:00,0.003985905998654671
