time,ust_premium_stress_fx
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,-0.026570099898491017
2012-06-30 00:00:00+00:00,-0.0013481412035826201
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0007646371691463205
2012-12-31 00:00:00+00:00,0.0017636498725386307
2013-01-31 00:00:00+00:00,0.0007340463195628644
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0018470160133861047
2014-01-31 00:00:00+00:00,-0.007182630858630024
2014-02-28 00:00:00+00:00,0.005984019894566206
2014-03-31 00:00:00+00:00,0.006063963886655532
2014-04-30 00:00:00+00:00,0.0018696547568768374
2014-05-31 00:00:00+00:00,-0.0033570336963464342
2014-06-30 00:00:00+00:00,0.007250497393592514
2014-07-31 00:00:00+00:00,-0.008852037472585228
2014-08-31 00:00:00+00:00,-0.0043580355688949135
2014-09-30 00:00:00+00:00,-0.01861613209925872
2014-10-31 00:00:00+00:00,-7.748220855996468e-05
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,-0.0060865351716998806
2015-01-31 00:00:00+00:00,-0.0012785654868179286
2015-02-28 00:00:00+00:00,0.0024069071766552597
2015-03-31 00:00:00+00:00,-0.0006916447467658626
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,0.0
2015-07-31 00:00:00+00:00,0.0
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,-0.011654239853803428
2015-12-31 00:00:00+00:00,0.0014169679247062472
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.0047904390047184275
2016-03-31 00:00:00+00:00,0.0002955383774108089
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,0.0
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0
2017-09-30 00:00:00+00:00,0.0
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,0.0
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,-0.008563080838583148
2018-03-31 00:00:00+00:00,-0.0018098177715014652
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
2018-06-30 00:00:00+00:00,0.0
