date,AUD,CAD,NZD
2000-08-24 00:00:00+00:00,,,
2000-08-25 00:00:00+00:00,,,
2000-08-26 00:00:00+00:00,,,
2000-08-29 00:00:00+00:00,,,
2000-08-30 00:00:00+00:00,,,
2000-08-31 00:00:00+00:00,,,
2000-09-01 00:00:00+00:00,,,
2000-09-02 00:00:00+00:00,,,
2000-09-06 00:00:00+00:00,,,
2000-09-07 00:00:00+00:00,,,
2000-09-08 00:00:00+00:00,,,
2000-09-09 00:00:00+00:00,,,
2000-09-12 00:00:00+00:00,,,
2000-09-13 00:00:00+00:00,,,
2000-09-14 00:00:00+00:00,,,
2000-09-15 00:00:00+00:00,,,
2000-09-16 00:00:00+00:00,,,
2000-09-19 00:00:00+00:00,,,
2000-09-20 00:00:00+00:00,,,
2000-09-21 00:00:00+00:00,,,
2000-09-22 00:00:00+00:00,,,
2000-09-23 00:00:00+00:00,,,
2000-09-26 00:00:00+00:00,,,
2000-09-27 00:00:00+00:00,,,
2000-09-28 00:00:00+00:00,,,
2000-09-29 00:00:00+00:00,,,
2000-09-30 00:00:00+00:00,,,
2000-10-03 00:00:00+00:00,,,
2000-10-04 00:00:00+00:00,,,
2000-10-05 00:00:00+00:00,,,
2000-10-06 00:00:00+00:00,,,
2000-10-07 00:00:00+00:00,,,
2000-10-10 00:00:00+00:00,,,
2000-10-11 00:00:00+00:00,,,
2000-10-12 00:00:00+00:00,,,
2000-10-13 00:00:00+00:00,,,
2000-10-14 00:00:00+00:00,,,
2000-10-17 00:00:00+00:00,,,
2000-10-18 00:00:00+00:00,,,
2000-10-19 00:00:00+00:00,,,
2000-10-20 00:00:00+00:00,,,
2000-10-21 00:00:00+00:00,,,
2000-10-24 00:00:00+00:00,,,
2000-10-25 00:00:00+00:00,,,
2000-10-26 00:00:00+00:00,,,
2000-10-27 00:00:00+00:00,,,
2000-10-28 00:00:00+00:00,,,
2000-10-31 00:00:00+00:00,,,
2000-11-01 00:00:00+00:00,,,
2000-11-02 00:00:00+00:00,,,
2000-11-03 00:00:00+00:00,,,
2000-11-04 00:00:00+00:00,,,
2000-11-07 00:00:00+00:00,,,
2000-11-08 00:00:00+00:00,,,
2000-11-09 00:00:00+00:00,,,
2000-11-10 00:00:00+00:00,,,
2000-11-11 00:00:00+00:00,,,
2000-11-14 00:00:00+00:00,,,
2000-11-15 00:00:00+00:00,,,
2000-11-16 00:00:00+00:00,,,
2000-11-17 00:00:00+00:00,,,
2000-11-18 00:00:00+00:00,,,
2000-11-21 00:00:00+00:00,,,
2000-11-22 00:00:00+00:00,,,
2000-11-23 00:00:00+00:00,,,
2000-11-28 00:00:00+00:00,,,
2000-11-29 00:00:00+00:00,,,
2000-11-30 00:00:00+00:00,,,
2000-12-01 00:00:00+00:00,,,
2000-12-02 00:00:00+00:00,,,
2000-12-05 00:00:00+00:00,,,
2000-12-06 00:00:00+00:00,,,
2000-12-07 00:00:00+00:00,,,
2000-12-08 00:00:00+00:00,,,
2000-12-09 00:00:00+00:00,,,
2000-12-12 00:00:00+00:00,,,
2000-12-13 00:00:00+00:00,,,
2000-12-14 00:00:00+00:00,,,
2000-12-15 00:00:00+00:00,,,
2000-12-16 00:00:00+00:00,,,
2000-12-19 00:00:00+00:00,,,
2000-12-20 00:00:00+00:00,,,
2000-12-21 00:00:00+00:00,,,
2000-12-22 00:00:00+00:00,,,
2000-12-23 00:00:00+00:00,,,
2000-12-27 00:00:00+00:00,,,
2000-12-28 00:00:00+00:00,,,
2000-12-29 00:00:00+00:00,,,
2000-12-30 00:00:00+00:00,,,
2001-01-03 00:00:00+00:00,,,
2001-01-04 00:00:00+00:00,-0.061693459545281604,0.061693459545281604,
2001-01-05 00:00:00+00:00,0.002908473699761105,-0.002908473699761105,
2001-01-06 00:00:00+00:00,0.03025429918981659,-0.03025429918981659,
2001-01-09 00:00:00+00:00,0.08490079600195932,-0.08490079600195932,
2001-01-10 00:00:00+00:00,0.11874581301224008,-0.11874581301224008,
2001-01-11 00:00:00+00:00,0.1386249941672114,-0.1386249941672114,
2001-01-12 00:00:00+00:00,0.12743864110130088,-0.12743864110130088,
2001-01-13 00:00:00+00:00,0.13522931909208646,-0.13522931909208646,
2001-01-17 00:00:00+00:00,0.08340606407221318,-0.08340606407221318,
2001-01-18 00:00:00+00:00,0.10613087053675274,-0.10613087053675274,
2001-01-19 00:00:00+00:00,0.1423800385428622,-0.1423800385428622,
